crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
27 ,1 ,120 ,058 ,0 ,0
25 ,3 ,115 ,037 ,0 ,0
22 ,1 ,113 ,032 ,0 ,0
22 ,1 ,120 ,121 ,0 ,0
21 ,1 ,111 ,029 ,0 ,0
21 ,3 ,112 ,083 ,0 ,0
21 ,1 ,114 ,036 ,1 ,0
20 ,1 ,111 ,024 ,0 ,0
20 ,3 ,116 ,053 ,0 ,0
20 ,1 ,120 ,057 ,1 ,0
17 ,1 ,114 ,036 ,1 ,0
9 ,1 ,111 ,020 ,0 ,0
9 ,1 ,111 ,022 ,0 ,0
9 ,1 ,111 ,022 ,0 ,0
9 ,1 ,111 ,024 ,0 ,0
9 ,1 ,111 ,024 ,0 ,0
9 ,1 ,111 ,024 ,0 ,0
9 ,1 ,111 ,080 ,1 ,1
9 ,3 ,112 ,027 ,0 ,1
9 ,3 ,112 ,083 ,0 ,1
