crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
79 ,2 ,119 ,124 ,0 ,0
79 ,1 ,120 ,055 ,0 ,0
79 ,1 ,120 ,056 ,0 ,0
79 ,1 ,120 ,058 ,0 ,0
79 ,1 ,120 ,059 ,1 ,1
79 ,1 ,120 ,061 ,0 ,0
79 ,1 ,120 ,061 ,0 ,0
79 ,1 ,120 ,062 ,0 ,0
79 ,1 ,120 ,062 ,0 ,0
79 ,1 ,120 ,125 ,0 ,0
92 ,2 ,117 ,068 ,0 ,0
78 ,3 ,112 ,083 ,1 ,1
78 ,1 ,113 ,032 ,1 ,1
78 ,1 ,113 ,034 ,0 ,0
78 ,3 ,116 ,053 ,0 ,0
78 ,2 ,117 ,068 ,0 ,0
78 ,3 ,118 ,004 ,0 ,1
78 ,1 ,120 ,056 ,0 ,1
78 ,1 ,120 ,061 ,0 ,0
78 ,1 ,120 ,125 ,0 ,0
78 ,2 ,122 ,077 ,1 ,1
77 ,3 ,112 ,027 ,0 ,0
77 ,2 ,117 ,009 ,0 ,0
77 ,2 ,117 ,118 ,0 ,0
77 ,3 ,118 ,045 ,0 ,0
77 ,1 ,120 ,121 ,0 ,1
102 ,1 ,114 ,026 ,0 ,0
101 ,3 ,112 ,083 ,1 ,1
101 ,2 ,117 ,071 ,0 ,1
101 ,2 ,121 ,073 ,0 ,1
76 ,1 ,111 ,024 ,0 ,0
76 ,3 ,112 ,027 ,0 ,0
76 ,3 ,115 ,006 ,0 ,1
76 ,3 ,115 ,039 ,1 ,0
75 ,1 ,111 ,022 ,0 ,0
75 ,1 ,111 ,025 ,0 ,0
75 ,1 ,111 ,029 ,0 ,0
75 ,1 ,111 ,080 ,0 ,0
75 ,1 ,111 ,080 ,0 ,0
75 ,3 ,112 ,003 ,0 ,0
75 ,3 ,112 ,028 ,0 ,1
75 ,1 ,113 ,030 ,1 ,0
75 ,1 ,113 ,030 ,1 ,0
75 ,1 ,113 ,060 ,0 ,0
75 ,1 ,114 ,036 ,0 ,0
75 ,1 ,114 ,036 ,0 ,0
75 ,1 ,114 ,036 ,0 ,0
75 ,1 ,114 ,036 ,0 ,0
75 ,1 ,114 ,036 ,0 ,0
75 ,3 ,115 ,005 ,0 ,0
75 ,3 ,115 ,038 ,0 ,0
75 ,3 ,115 ,039 ,0 ,0
75 ,3 ,115 ,044 ,0 ,0
75 ,3 ,116 ,043 ,0 ,0
75 ,3 ,116 ,048 ,0 ,0
75 ,3 ,116 ,052 ,0 ,0
75 ,2 ,117 ,018 ,0 ,0
75 ,2 ,117 ,018 ,0 ,0
75 ,2 ,117 ,018 ,1 ,0
75 ,2 ,117 ,068 ,0 ,1
75 ,3 ,118 ,004 ,1 ,0
75 ,2 ,119 ,016 ,0 ,1
75 ,2 ,119 ,076 ,0 ,0
75 ,2 ,119 ,082 ,0 ,0
75 ,1 ,120 ,062 ,0 ,0
75 ,2 ,121 ,069 ,0 ,0
75 ,2 ,122 ,015 ,0 ,0
75 ,2 ,122 ,122 ,0 ,0
73 ,3 ,115 ,044 ,0 ,0
73 ,2 ,117 ,018 ,0 ,0
72 ,1 ,111 ,023 ,0 ,0
72 ,2 ,117 ,009 ,0 ,0
